# step  time_ps  T_K  Epot_eV  Ekin_eV  Etot_eV  step_s
       0    0.0000    48.32   -2949.1689     1.3491   -2947.8198   0.044
      50    0.0250   611.34   -2970.5166    17.0687   -2953.4479   0.187
     100    0.0500   613.78   -2978.3516    17.1368   -2961.2148   0.127
     150    0.0750   503.33   -2981.8496    14.0530   -2967.7966   0.127
     200    0.1000   408.33   -2984.5596    11.4006   -2973.1589   0.127
     250    0.1250   350.20   -2987.5779     9.7775   -2977.8003   0.127
     300    0.1500   295.93   -2989.9854     8.2625   -2981.7229   0.127
     350    0.1750   239.90   -2991.4780     6.6980   -2984.7800   0.127
     400    0.2000   247.56   -2994.2495     6.9119   -2987.3376   0.126
     450    0.2250   214.05   -2995.8052     5.9764   -2989.8288   0.126
     500    0.2500   167.85   -2996.4160     4.6863   -2991.7298   0.127
     550    0.2750   179.89   -2998.4736     5.0225   -2993.4511   0.127
     600    0.3000   145.23   -2999.3164     4.0547   -2995.2617   0.127
     650    0.3250   132.11   -3000.2253     3.6886   -2996.5367   0.127
     700    0.3500   116.41   -3000.8252     3.2503   -2997.5749   0.127
     750    0.3750   109.87   -3001.4431     3.0676   -2998.3755   0.127
     800    0.4000    91.15   -3001.9858     2.5448   -2999.4410   0.127
     850    0.4250    91.68   -3002.4946     2.5598   -2999.9348   0.127
     900    0.4500    86.19   -3002.7520     2.4065   -3000.3455   0.127
     950    0.4750    75.05   -3003.0005     2.0954   -3000.9051   0.127
    1000    0.5000    74.00   -3003.3936     2.0662   -3001.3274   0.127
    1050    0.5250    67.63   -3003.5718     1.8883   -3001.6835   0.127
    1100    0.5500    64.98   -3003.8809     1.8143   -3002.0666   0.127
    1150    0.5750    71.05   -3004.1353     1.9837   -3002.1515   0.127
    1200    0.6000    65.40   -3004.2241     1.8261   -3002.3980   0.127
    1250    0.6250    60.16   -3004.2561     1.6798   -3002.5763   0.127
    1300    0.6500    59.61   -3004.3574     1.6644   -3002.6930   0.127
    1350    0.6750    61.46   -3004.5117     1.7159   -3002.7958   0.127
    1400    0.7000    60.74   -3004.7197     1.6960   -3003.0237   0.127
    1450    0.7250    59.14   -3004.7300     1.6511   -3003.0789   0.127
    1500    0.7500    59.97   -3004.8777     1.6743   -3003.2034   0.127
    1550    0.7750    60.15   -3005.0010     1.6795   -3003.3215   0.127
    1600    0.8000    61.65   -3005.1616     1.7211   -3003.4405   0.127
    1650    0.8250    60.52   -3005.2837     1.6897   -3003.5939   0.127
    1700    0.8500    53.01   -3005.1807     1.4802   -3003.7005   0.127
    1750    0.8750    57.73   -3005.5828     1.6119   -3003.9709   0.127
    1800    0.9000    50.16   -3005.5381     1.4005   -3004.1376   0.127
    1850    0.9250    54.17   -3005.8047     1.5123   -3004.2924   0.127
    1900    0.9500    51.86   -3005.8486     1.4480   -3004.4006   0.128
    1950    0.9750    53.77   -3005.9756     1.5012   -3004.4744   0.127
    2000    1.0000    59.12   -3006.2017     1.6505   -3004.5511   0.127
    2050    1.0250    61.77   -3006.5635     1.7247   -3004.8388   0.127
    2100    1.0500    58.91   -3006.6919     1.6448   -3005.0471   0.127
    2150    1.0750    61.26   -3006.7627     1.7104   -3005.0523   0.127
    2200    1.1000    52.30   -3006.7861     1.4603   -3005.3258   0.127
    2250    1.1250    55.80   -3006.8269     1.5580   -3005.2689   0.127
    2300    1.1500    53.42   -3006.9570     1.4916   -3005.4654   0.127
    2350    1.1750    54.19   -3006.9292     1.5130   -3005.4162   0.127
    2400    1.2000    53.70   -3006.9565     1.4994   -3005.4571   0.127
    2450    1.2250    56.92   -3007.0591     1.5893   -3005.4697   0.127
    2500    1.2500    56.45   -3007.2441     1.5761   -3005.6680   0.127
    2550    1.2750    62.53   -3007.5181     1.7459   -3005.7721   0.127
    2600    1.3000    55.53   -3007.4497     1.5503   -3005.8994   0.127
    2650    1.3250    57.32   -3007.5483     1.6002   -3005.9481   0.127
    2700    1.3500    56.43   -3007.6372     1.5754   -3006.0618   0.127
    2750    1.3750    54.14   -3007.5488     1.5115   -3006.0373   0.127
    2800    1.4000    54.71   -3007.7988     1.5276   -3006.2713   0.127
    2850    1.4250    57.87   -3007.9150     1.6159   -3006.2992   0.127
    2900    1.4500    58.31   -3007.9409     1.6280   -3006.3129   0.127
    2950    1.4750    53.06   -3007.8411     1.4814   -3006.3596   0.127
    3000    1.5000    50.90   -3007.8896     1.4212   -3006.4684   0.127
    3050    1.5250    59.42   -3008.1482     1.6590   -3006.4892   0.127
    3100    1.5500    56.81   -3008.1797     1.5861   -3006.5936   0.127
    3150    1.5750    53.45   -3008.3743     1.4922   -3006.8821   0.127
    3200    1.6000    54.81   -3008.4636     1.5302   -3006.9334   0.127
    3250    1.6250    57.29   -3008.3704     1.5996   -3006.7707   0.127
    3300    1.6500    56.90   -3008.4402     1.5885   -3006.8517   0.127
    3350    1.6750    51.88   -3008.3628     1.4485   -3006.9143   0.127
    3400    1.7000    56.79   -3008.5105     1.5857   -3006.9248   0.127
    3450    1.7250    59.83   -3008.5938     1.6704   -3006.9233   0.127
    3500    1.7500    51.30   -3008.3545     1.4322   -3006.9223   0.127
    3550    1.7750    55.65   -3008.5342     1.5539   -3006.9803   0.127
    3600    1.8000    48.62   -3008.3223     1.3576   -3006.9647   0.127
    3650    1.8250    54.10   -3008.4692     1.5105   -3006.9588   0.127
    3700    1.8500    49.42   -3008.4521     1.3797   -3007.0724   0.128
    3750    1.8750    55.64   -3008.5974     1.5534   -3007.0440   0.127
    3800    1.9000    54.59   -3008.5098     1.5241   -3006.9857   0.127
    3850    1.9250    53.43   -3008.5347     1.4919   -3007.0428   0.127
    3900    1.9500    53.00   -3008.5962     1.4798   -3007.1164   0.127
    3950    1.9750    51.80   -3008.5667     1.4464   -3007.1203   0.127
    4000    2.0000    50.78   -3008.4868     1.4179   -3007.0690   0.127
    4050    2.0250    48.65   -3008.5571     1.3584   -3007.1987   0.127
    4100    2.0500    51.31   -3008.7385     1.4325   -3007.3060   0.127
    4150    2.0750    51.06   -3008.6782     1.4256   -3007.2526   0.127
    4200    2.1000    51.29   -3008.6416     1.4320   -3007.2096   0.127
    4250    2.1250    58.64   -3008.7056     1.6372   -3007.0684   0.127
    4300    2.1500    52.49   -3008.6396     1.4655   -3007.1742   0.127
    4350    2.1750    51.68   -3008.6538     1.4429   -3007.2110   0.126
    4400    2.2000    53.00   -3008.7573     1.4798   -3007.2776   0.127
    4450    2.2250    54.37   -3008.7900     1.5180   -3007.2721   0.127
    4500    2.2500    53.32   -3008.7603     1.4887   -3007.2716   0.127
    4550    2.2750    54.16   -3008.7993     1.5123   -3007.2870   0.127
    4600    2.3000    50.01   -3008.9023     1.3962   -3007.5061   0.127
    4650    2.3250    46.16   -3008.8184     1.2888   -3007.5296   0.127
    4700    2.3500    52.43   -3009.0027     1.4637   -3007.5390   0.127
    4750    2.3750    51.20   -3008.8979     1.4296   -3007.4684   0.127
    4800    2.4000    55.29   -3008.9639     1.5437   -3007.4201   0.127
    4850    2.4250    53.67   -3008.9907     1.4984   -3007.4923   0.127
    4900    2.4500    53.08   -3009.0225     1.4819   -3007.5406   0.127
    4950    2.4750    49.86   -3008.9817     1.3920   -3007.5897   0.127
    5000    2.5000    49.10   -3009.0750     1.3710   -3007.7039   0.127
    5050    2.5250    51.32   -3009.1011     1.4327   -3007.6683   0.127
    5100    2.5500    49.19   -3008.9639     1.3733   -3007.5906   0.127
    5150    2.5750    46.90   -3008.9556     1.3094   -3007.6462   0.127
    5200    2.6000    47.45   -3008.8486     1.3249   -3007.5237   0.127
    5250    2.6250    51.47   -3008.8123     1.4371   -3007.3751   0.127
    5300    2.6500    54.79   -3008.8481     1.5297   -3007.3184   0.127
    5350    2.6750    58.46   -3008.9038     1.6322   -3007.2717   0.127
    5400    2.7000    52.38   -3008.8337     1.4626   -3007.3712   0.127
    5450    2.7250    53.10   -3008.9302     1.4825   -3007.4476   0.127
    5500    2.7500    48.33   -3008.9136     1.3493   -3007.5642   0.127
    5550    2.7750    49.08   -3008.9321     1.3702   -3007.5619   0.127
    5600    2.8000    50.45   -3008.9683     1.4086   -3007.5597   0.127
    5650    2.8250    48.64   -3008.8850     1.3579   -3007.5271   0.127
    5700    2.8500    51.78   -3009.0007     1.4457   -3007.5550   0.127
    5750    2.8750    54.70   -3009.1653     1.5273   -3007.6380   0.127
    5800    2.9000    51.25   -3009.1030     1.4309   -3007.6721   0.127
    5850    2.9250    51.33   -3009.1450     1.4332   -3007.7118   0.127
    5900    2.9500    48.63   -3009.1882     1.3579   -3007.8303   0.127
    5950    2.9750    49.36   -3009.0654     1.3783   -3007.6872   0.127
    6000    3.0000    53.58   -3009.1716     1.4959   -3007.6757   0.127
    6050    3.0250    51.19   -3009.0505     1.4294   -3007.6212   0.127
    6100    3.0500    54.14   -3009.2144     1.5115   -3007.7028   0.127
    6150    3.0750    52.32   -3009.1382     1.4607   -3007.6775   0.127
    6200    3.1000    50.91   -3009.1360     1.4214   -3007.7146   0.126
    6250    3.1250    51.15   -3009.1660     1.4280   -3007.7380   0.126
    6300    3.1500    52.97   -3009.2017     1.4790   -3007.7226   0.127
    6350    3.1750    49.67   -3009.2239     1.3868   -3007.8371   0.127
    6400    3.2000    52.17   -3009.2241     1.4567   -3007.7675   0.127
    6450    3.2250    52.90   -3009.2192     1.4770   -3007.7423   0.127
    6500    3.2500    49.57   -3009.1846     1.3839   -3007.8007   0.127
    6550    3.2750    47.82   -3009.1406     1.3352   -3007.8054   0.127
    6600    3.3000    47.92   -3009.0901     1.3380   -3007.7521   0.127
    6650    3.3250    51.87   -3009.0386     1.4482   -3007.5904   0.127
    6700    3.3500    55.64   -3009.0571     1.5535   -3007.5036   0.127
    6750    3.3750    54.01   -3008.9985     1.5079   -3007.4907   0.127
    6800    3.4000    53.03   -3009.0000     1.4805   -3007.5195   0.127
    6850    3.4250    53.61   -3009.0625     1.4967   -3007.5658   0.127
    6900    3.4500    49.89   -3009.0164     1.3930   -3007.6233   0.127
    6950    3.4750    53.59   -3009.1785     1.4962   -3007.6823   0.127
    7000    3.5000    49.88   -3009.0491     1.3926   -3007.6565   0.127
    7050    3.5250    52.64   -3009.0981     1.4697   -3007.6284   0.127
    7100    3.5500    52.23   -3009.1511     1.4583   -3007.6928   0.127
    7150    3.5750    52.15   -3009.2319     1.4560   -3007.7759   0.127
    7200    3.6000    49.43   -3009.2783     1.3801   -3007.8982   0.127
    7250    3.6250    52.61   -3009.3735     1.4689   -3007.9047   0.127
    7300    3.6500    53.36   -3009.3960     1.4898   -3007.9062   0.127
    7350    3.6750    49.23   -3009.3750     1.3744   -3008.0006   0.127
    7400    3.7000    50.26   -3009.4661     1.4033   -3008.0627   0.127
    7450    3.7250    48.12   -3009.4741     1.3435   -3008.1306   0.127
    7500    3.7500    48.39   -3009.6509     1.3512   -3008.2997   0.127
    7550    3.7750    44.96   -3009.6406     1.2554   -3008.3852   0.127
    7600    3.8000    51.98   -3009.7368     1.4512   -3008.2856   0.127
    7650    3.8250    49.34   -3009.5767     1.3777   -3008.1990   0.127
    7700    3.8500    49.49   -3009.6001     1.3819   -3008.2182   0.127
    7750    3.8750    55.48   -3009.7705     1.5489   -3008.2216   0.127
    7800    3.9000    51.39   -3009.6636     1.4348   -3008.2287   0.127
    7850    3.9250    51.94   -3009.7178     1.4502   -3008.2675   0.127
    7900    3.9500    53.86   -3009.7231     1.5039   -3008.2193   0.127
    7950    3.9750    55.16   -3009.7393     1.5400   -3008.1993   0.127
    8000    4.0000    50.96   -3009.6846     1.4229   -3008.2617   0.127
    8050    4.0250    50.53   -3009.5854     1.4107   -3008.1747   0.127
    8100    4.0500    56.33   -3009.5940     1.5729   -3008.0211   0.127
    8150    4.0750    52.74   -3009.5181     1.4725   -3008.0455   0.127
    8200    4.1000    57.37   -3009.6497     1.6018   -3008.0478   0.127
    8250    4.1250    50.88   -3009.5000     1.4207   -3008.0793   0.127
    8300    4.1500    53.11   -3009.5923     1.4828   -3008.1095   0.127
    8350    4.1750    51.92   -3009.6094     1.4497   -3008.1597   0.127
    8400    4.2000    50.51   -3009.5820     1.4104   -3008.1717   0.128
    8450    4.2250    52.43   -3009.6465     1.4639   -3008.1826   0.127
    8500    4.2500    51.31   -3009.6838     1.4325   -3008.2513   0.127
    8550    4.2750    52.56   -3009.7898     1.4675   -3008.3223   0.127
    8600    4.3000    51.02   -3009.7324     1.4246   -3008.3079   0.127
    8650    4.3250    47.47   -3009.5464     1.3253   -3008.2210   0.127
    8700    4.3500    52.07   -3009.5908     1.4537   -3008.1371   0.127
    8750    4.3750    50.38   -3009.5300     1.4065   -3008.1235   0.127
    8800    4.4000    49.29   -3009.6082     1.3760   -3008.2321   0.127
    8850    4.4250    55.19   -3009.6663     1.5410   -3008.1253   0.127
    8900    4.4500    49.36   -3009.6428     1.3780   -3008.2648   0.127
    8950    4.4750    52.12   -3009.6172     1.4552   -3008.1619   0.127
    9000    4.5000    52.81   -3009.5933     1.4745   -3008.1188   0.127
    9050    4.5250    50.47   -3009.6270     1.4092   -3008.2177   0.127
    9100    4.5500    49.72   -3009.7034     1.3882   -3008.3152   0.127
    9150    4.5750    47.91   -3009.7085     1.3378   -3008.3707   0.127
    9200    4.6000    49.05   -3009.7881     1.3696   -3008.4185   0.127
